market,month,recovery_7-30,recovery_30-51,recovery_51_
mx,76,0.1055,0.0183,0.02
mx,77,0.1055,0.0183,0.02
mx,78,0.1055,0.0183,0.02
mx,79,0.1055,0.0183,0.02
mx,80,0.1055,0.0183,0.02
mx,81,0.1055,0.0183,0.02
mx,82,0.1055,0.0183,0.02
mx,83,0.1055,0.0183,0.02
mx,84,0.1055,0.0183,0.02
mx,85,0.1055,0.0183,0.02
mx,86,0.1055,0.0183,0.02
mx,87,0.1055,0.0183,0.02
mx,88,0.1055,0.0183,0.02
mx,89,0.1055,0.0183,0.02
mx,90,0.1055,0.0183,0.02
mx,91,0.1055,0.0183,0.02
mx,92,0.1055,0.0183,0.02
mx,93,0.1055,0.0183,0.02
mx,94,0.1055,0.0183,0.02
mx,95,0.1055,0.0183,0.02
mx,96,0.1055,0.0183,0.02
mx,97,0.1055,0.0183,0.02
mx,98,0.1055,0.0183,0.02
mx,99,0.1055,0.0183,0.02
mx,100,0.1055,0.0183,0.02
