,first_loan_local_disbursement_month,months_since_first_loan_disbursed,count_borrowers,count_loans,total_amount,total_interest_assessed,total_rollover_charged,total_rollover_reversed,default_rate_amount_7d,default_rate_amount_30d,default_rate_amount_51d,default_rate_amount_365d
1760,2020-01,14,4589,5157,26888500.0,4064930.0,149764.0,789.0,0.06027742940090244,0.047522561432138136,0.042666493119894754,0.03980433542648854
1761,2020-01,19,4363,4932,30290500.0,4613745.0,165946.0,4489.0,0.06181484973221478,0.050475792580504476,0.047052266122586346,
1762,2020-01,15,4358,4836,26646500.0,4040005.0,144527.0,1375.0,0.058950723920403465,0.044907043855840434,0.04011414822881116,0.03669331438707484
1763,2020-01,20,4214,4716,30920500.0,4723720.0,185652.0,3480.0,0.06853222498529063,0.05214336429871207,0.048382858218017626,
1764,2020-01,21,4070,4536,30889500.0,4893525.0,183785.0,4360.0,0.06588613237131705,0.052563017970411956,0.04962777538392643,
1765,2020-01,2,3803,3835,12402000.0,1879810.0,503346.0,14318.0,0.45056098455366983,0.391794166023976,0.367896182301065,0.3213480342073219
1766,2020-01,8,3718,4060,13590000.0,2045205.0,141585.0,4802.0,0.10553373977395211,0.08074240274482293,0.06909845590007344,0.05714220590386138
1767,2020-01,22,3496,3842,27690500.0,4889220.0,183342.0,7056.0,0.07320154353339414,0.05490251847164214,0.05031781110333555,
1768,2020-01,26,3386,3687,26904500.0,4831937.0,104497.0,428.0,0.06757952148714558,0.043634143107321235,0.035132157943730945,
1769,2020-01,27,3276,3536,25742500.0,4602708.0,79027.0,88.0,0.06560052584463087,0.03700622230913869,0.017401198816573066,
1770,2020-01,28,3250,3548,26424000.0,4816508.0,20757.0,9.0,0.05615534509739302,0.05997479259478586,,
1771,2020-01,24,3105,3410,25116000.0,4540845.0,148429.0,603.0,0.06469790580184584,0.0510473212956066,0.04878813641302668,
1772,2020-01,25,3021,3278,24069500.0,4213750.0,110691.0,237.0,0.06377473823031145,0.04949458257110444,0.04384365338784222,
1773,2020-01,23,2954,3235,23403000.0,4055330.0,146659.0,475.0,0.06911674934965542,0.052733455180170336,0.04830437879406905,
1774,2020-01,7,2706,2971,10229500.0,1562335.0,103062.0,2224.0,0.10395948092325369,0.090417305421108,0.0813582384139366,0.07234272838299727
1775,2020-01,29,1989,2075,15795500.0,2904238.0,0.0,0.0,0.03848401900473961,,,
1776,2020-01,6,1822,2064,6828500.0,1038930.0,72058.0,2948.0,0.11802019535429434,0.08709191090467602,0.08029189558051825,0.06937835874153067
1777,2020-01,5,1557,1711,4770500.0,737445.0,53907.0,1590.0,0.12411301181545491,0.09492459042143508,0.08622693355632643,0.07804270789736469
1778,2020-01,4,418,467,1424000.0,215035.0,17388.0,158.0,0.1327917263205026,0.10436404227664069,0.09930736291394167,0.08383218351811464
1779,2020-01,3,183,184,539000.0,83505.0,6375.0,0.0,0.12834916988618567,0.11022770639867702,0.10060742908026969,0.09462712672920973
1780,2020-01,30,27,27,229500.0,46340.0,0.0,0.0,,,,
1781,2020-02,0,54556,75111,131521500.0,19267485.0,4093642.0,455788.0,0.3360177462093188,0.3150474990669043,0.30429434758218843,0.2820582071707614
1782,2020-02,1,8423,8568,20116000.0,3096090.0,834173.0,11063.0,0.461948104282349,0.4143953968744128,0.3906734149071759,0.35049104869195674
1783,2020-02,9,6415,7165,23262500.0,3496280.0,177184.0,2865.0,0.08196487858559996,0.05890396796078223,0.052734575765986925,0.048783368651034255
1784,2020-02,11,6337,7252,28885000.0,4362130.0,181364.0,5166.0,0.06877783847035508,0.05528058658473742,0.04987480181353479,0.04565489243263268
1785,2020-02,10,6189,7035,26047500.0,3927755.0,173642.0,1849.0,0.07305466505876969,0.054907782844711,0.05062231864726168,0.04554424118911732
1786,2020-02,12,5883,6409,27728000.0,4196275.0,221459.0,4925.0,0.08661939132397314,0.06662516718288101,0.06223539215755032,0.057986480420518655
1787,2020-02,15,5792,6536,32204500.0,4870535.0,197366.0,2892.0,0.06655428751225995,0.05455986730606964,0.05054418546065924,0.046748089213359406
1788,2020-02,8,5791,6607,18287500.0,2741055.0,136425.0,1577.0,0.07435280727026979,0.054558809671887074,0.04876000467371619,0.04322643060040073
1789,2020-02,16,5768,6432,32280500.0,4885775.0,231755.0,4229.0,0.07804923556271333,0.06533056059844121,0.059494523547133346,0.0391890707787262
1790,2020-02,13,5595,6315,29646500.0,4482170.0,191099.0,5356.0,0.06991358824610765,0.05486026616182286,0.0502865406075331,0.046013169002312795
1791,2020-02,17,5472,6222,33532500.0,5077555.0,230226.0,4282.0,0.07543325384385455,0.06088266964886275,0.054233640844625904,
1792,2020-02,14,5219,5769,28897000.0,4370585.0,176839.0,778.0,0.06737600464603584,0.053634677428782536,0.05015208454657823,0.046829121569253306
1793,2020-02,18,5124,5811,33275000.0,5021600.0,200781.0,2765.0,0.06675653426630994,0.050843364558385055,0.04775503892834831,
1794,2020-02,19,4940,5505,33228500.0,5064920.0,192381.0,3616.0,0.06508946541716305,0.052531992415556325,0.048856408093610935,
1795,2020-02,20,4769,5332,33944000.0,5309740.0,205240.0,4141.0,0.06749270651968642,0.054230475117321465,0.05019048604044737,
1796,2020-02,7,4312,4686,12640000.0,1913225.0,132858.0,4160.0,0.10700337921574905,0.08325525346556058,0.07404812343806072,0.06534469442746722
1797,2020-02,21,4175,4623,31286000.0,5441175.0,209193.0,9504.0,0.07469541773234621,0.05444441758190998,0.050164078298917884,
1798,2020-02,25,3876,4229,29313500.0,5269541.0,123477.0,960.0,0.07298479967072885,0.05666733569072865,0.04444191004560078,
1799,2020-02,26,3749,4068,28438000.0,5103964.0,84624.0,54.0,0.06172719016178872,0.03400355156599741,0.02167107255303792,
1800,2020-02,27,3728,4055,29007500.0,5279462.0,24217.0,0.0,0.047367297239699825,0.005814687971037316,,
1801,2020-02,23,3571,3952,27604500.0,4963315.0,164060.0,1798.0,0.06429727763525674,0.049061423123493875,0.04576253520414212,
1802,2020-02,24,3404,3683,25296000.0,4454287.0,117941.0,1014.0,0.06256373134919516,0.04635906594896892,0.041000590182863034,
1803,2020-02,22,3379,3753,26005000.0,4525580.0,138613.0,795.0,0.05795248651432053,0.04170424884579542,0.03792657045267071,
1804,2020-02,6,3366,3729,10462500.0,1605725.0,104036.0,1722.0,0.10372191098135332,0.09121180632046963,0.08417337683048064,0.07804725484994476
1805,2020-02,28,2566,2707,19807500.0,3642638.0,1000.0,230.0,0.04354230813817049,,,
1806,2020-02,5,2503,2817,7264000.0,1125625.0,78426.0,1901.0,0.11851374925787887,0.09078152933000912,0.0836960846249977,0.07664637242471636
1807,2020-02,4,2308,2534,5103500.0,790560.0,68642.0,1515.0,0.14804531501643078,0.12552279516386386,0.11735818337603508,0.10478241152139324
1808,2020-02,3,523,601,1563000.0,238230.0,17199.0,0.0,0.11963102990734109,0.08742546450810013,0.08295677202684296,0.07858871586407828
1809,2020-02,2,271,276,689000.0,109080.0,13832.0,0.0,0.2101903667432797,0.189742777433963,0.16510967691234688,0.1425521099367412
1810,2020-02,29,57,57,370000.0,64782.0,0.0,0.0,,,,
1811,2020-03,0,30442,31705,48244000.0,7197280.0,2099963.0,23415.0,0.48242784049940596,0.44537081921552835,0.42620210538015807,0.3927747189774311
1812,2020-03,8,3014,3363,8264500.0,1241080.0,62215.0,232.0,0.0808323084948807,0.06434897533893036,0.059891700864613595,0.054985090333020216
1813,2020-03,10,2980,3414,10771500.0,1623995.0,63431.0,823.0,0.06644037812326864,0.050831659047290194,0.04699000459589959,0.04395442270142001
1814,2020-03,9,2856,3229,9257500.0,1398160.0,61023.0,464.0,0.07187933438760594,0.05663674776096061,0.05161847606036973,0.04863755292401864
1815,2020-03,15,2788,3166,13164500.0,1987580.0,79234.0,1047.0,0.06468578740411438,0.05439235919914379,0.04872250063738456,0.03461816641630459
1816,2020-03,11,2786,3058,10627500.0,1597815.0,74703.0,1451.0,0.07654059548170031,0.060381940441508984,0.05498295187107856,0.052733544558323096
1817,2020-03,7,2747,3065,6335500.0,946790.0,53055.0,232.0,0.08943815828534922,0.06711306219592106,0.06295975148109796,0.05742144560856526
1818,2020-03,16,2693,3100,14123000.0,2123925.0,83659.0,1346.0,0.06500686892253851,0.05685981129392518,0.05417842154654517,
1819,2020-03,12,2692,3032,11532500.0,1739175.0,65392.0,1697.0,0.06144378413980361,0.04845623692500747,0.04502465181371583,0.04180405991391116
1820,2020-03,14,2665,3026,12616000.0,1900850.0,68641.0,969.0,0.05862118586403041,0.04936775859713752,0.046488248719874524,0.0426525596644542
1821,2020-03,17,2542,2886,13943500.0,2110010.0,89946.0,1067.0,0.07059420874399736,0.058045191530932384,0.05611860869014949,
1822,2020-03,13,2508,2805,11716500.0,1764705.0,64585.0,1523.0,0.058548818352886015,0.04713420001354188,0.043728390446093314,0.04168135191194706
1823,2020-03,18,2405,2725,14128000.0,2143800.0,71186.0,1346.0,0.05766963618103961,0.04958746657357757,0.0457167335985865,
1824,2020-03,19,2399,2694,14723500.0,2245270.0,80747.0,1438.0,0.06082373631254217,0.05201494865898069,0.046909091058076696,
1825,2020-03,6,2337,2510,5166500.0,782280.0,58289.0,1712.0,0.12039577854114111,0.0970829183074618,0.09041109905497659,0.0799631136660039
1826,2020-03,20,2156,2394,13906500.0,2374535.0,92539.0,1900.0,0.07314593020611475,0.054207731513824714,0.050407344078575174,
1827,2020-03,24,1829,1994,12281000.0,2202029.0,39209.0,143.0,0.05493761907514893,0.03732034817266728,0.030495273584925212,
1828,2020-03,26,1775,1947,12530500.0,2232008.0,12514.0,16.0,0.037536880431060016,0.008170962764031594,,
1829,2020-03,25,1773,1946,12246000.0,2173659.0,37473.0,202.0,0.06190322653298546,0.030760709465124363,0.01180621187910439,
1830,2020-03,22,1740,1959,12048500.0,2154360.0,70014.0,685.0,0.06493292982680157,0.05405390490717364,0.049551496615565675,
1831,2020-03,21,1672,1854,11046000.0,1896695.0,63007.0,1847.0,0.06274436714077028,0.05383698420925246,0.05042795527330618,
1832,2020-03,23,1604,1756,10914500.0,1946575.0,54697.0,166.0,0.06106987512032283,0.04582493017997519,0.04390749876047027,
1833,2020-03,27,1557,1664,11445000.0,2062166.0,386.0,0.0,0.036586749357132055,,,
1834,2020-03,5,1172,1349,3135000.0,485495.0,30960.0,139.0,0.10246659611713858,0.09320094359035859,0.08893985666335512,0.08254286644800224
1835,2020-03,4,1022,1176,2228500.0,345430.0,23155.0,90.0,0.11668532880071718,0.09367616944556605,0.0870626602967443,0.08203774571937143
1836,2020-03,3,858,897,1346500.0,207565.0,20865.0,93.0,0.17227500426295858,0.13693580439737657,0.12459540966953431,0.10888704915251761
1837,2020-03,28,63,63,435500.0,90207.0,0.0,0.0,,,,
1838,2020-03,2,62,77,201500.0,30850.0,2967.0,0.0,0.1537036639088858,0.10864493428014126,0.09322318404535158,0.09322318404535158
1839,2020-03,1,8,8,19500.0,2700.0,448.0,0.0,0.409009009009009,0.4206993995054751,0.4206993995054751,0.28717767573295655
1840,2020-04,0,158,184,219500.0,32725.0,9175.0,0.0,0.45399940529289323,0.4340856924254017,0.4125784238714614,0.35853481254781944
1841,2020-04,2,39,50,89000.0,13060.0,1014.0,0.0,0.12152578110024918,0.09431060994361866,0.09431060994361866,0.07051075217795662
1842,2020-04,1,38,56,110500.0,15660.0,1016.0,0.0,0.10050729232720355,0.10769327546077877,0.10769327546077877,0.10769327546077877
1843,2020-04,3,31,35,77000.0,11080.0,1008.0,134.0,0.1406396626149549,0.14880587875076545,0.13240311433820312,0.13240311433820312
1844,2020-04,4,30,32,75500.0,11750.0,1338.0,0.0,0.1914406682686806,0.20363357677396088,0.20363357677396088,0.15421287530430078
1845,2020-04,7,27,30,88000.0,12880.0,872.0,0.0,0.10792079207920792,0.08481231349144024,0.04917952341695128,0.03836871639916807
1846,2020-04,8,27,34,95500.0,14520.0,1238.0,0.0,0.14044637996733805,0.11686016257244881,0.11686016257244881,0.11686016257244881
1847,2020-04,6,26,32,65500.0,9700.0,870.0,0.0,0.14437367303609341,0.11387540983606557,0.11387540983606557,0.08918600078647267
1848,2020-04,10,26,27,77500.0,11740.0,882.0,0.0,0.12304600267976776,0.10388978571902435,0.10388978571902435,0.10388978571902435
1849,2020-04,9,25,26,78500.0,12020.0,1207.0,0.0,0.16626240352811467,0.12947229867177218,0.10218930470814709,0.10218930470814709
1850,2020-04,11,21,24,85500.0,13160.0,232.0,0.0,0.029328478964401293,0.03160061344741303,0.03160061344741303,0.03160061344741303
1851,2020-04,18,19,24,136500.0,24090.0,1244.0,0.0,0.09659973891962455,0.10353208236179479,0.10353208236179479,
1852,2020-04,16,19,23,114500.0,17620.0,371.0,0.0,0.035050611874905574,,,
1853,2020-04,14,19,21,83500.0,13040.0,1207.0,93.0,0.155817317627609,0.07032565544408952,0.05847541502137602,
