First Loan Local Disbursement Month,Months Since First Loan Disbursed,Count First Loans,Count Borrowers,Count Loans,Total Amount,Total Interest Assessed,Total Rollover Charged,Total Rollover Reversed,Default Rate Amount 7D,Default Rate Amount 30D,Default Rate Amount 51D,Default Rate Amount 365D
2014-05,66,0,11,11,170000,25970,5037,0,0.323059652,0.148208769,0.116239733,0.114747248
2014-05,4,0,66,88,339000,16950,4732,0,0.256777637,0.2041017,0.18050288,0.166736901
2014-05,67,0,8,9,146000,21370,1458,2916,0.108920356,0.102400076,0.081668917,0.008636008
2014-05,43,0,19,23,233000,34270,4778,0,0.22384106,0.159890902,0.133432335,0.036923631
2014-05,35,0,29,31,274000,40920,4711,0,0.187650832,0.150054281,0.126611624,0.034705645
2014-05,6,0,59,79,307000,15350,1714,0,0.163642004,0.127035831,0.114006515,0.0668528
2014-05,24,0,35,44,314000,41300,5880,0,0.201875771,0.109991234,0.070816005,0.041822289
2014-05,50,0,17,18,267000,38160,6269,0,0.259260716,0.026355927,0.00242752,0.00242752
2014-05,17,0,39,64,278000,26320,828,0,0.157273101,0.119103452,0.087113164,0.039505053
2014-05,54,0,15,16,239000,31770,2950,0,0.136167227,0.044742803,0.017517902,0.017517902
2014-05,45,0,15,17,202000,27200,3220,0,0.17561082,0.133706221,0.090478444,0.065231047
2014-05,21,0,38,54,311500,39725,6970,0,0.247980354,0.155604908,0.13071623,0.023023493
2014-05,82,0,3,3,31000,4610,0,0,,,,
2014-05,75,0,5,6,47000,6360,1836,1380,0.457421289,0.403000217,0.246177259,0.026414958
2014-06,0,303,303,380,1456000,72800,63289,0,0.559992805,0.546321952,0.536584903,0.529847593
2014-06,36,0,13,15,162000,21740,920,0,0.062593338,0.06726362,4.87E-06,4.87E-06
2014-06,18,0,18,28,166000,20060,1610,0,0.183767602,0.122831566,0.10759205,0.075088187
2014-06,32,0,15,19,170000,22920,1213,0,0.092394775,0.056887804,0.039317375,0.013726672
2014-06,42,0,14,17,207000,28130,3312,0,0.176080891,7.97E-06,7.97E-06,7.97E-06
2014-06,67,0,7,8,156000,21190,1502,1502,0.105987923,0.09447541,0.081044479,
2014-06,33,0,18,21,217500,28845,5515,0,0.281779212,0.12078893,0.115627333,0.049550941
2014-06,78,0,5,5,80000,13640,2951,0,0.393955575,0.412471141,0.308941827,0.224047789
2014-06,82,0,4,4,67000,10140,3361,0,0.544723879,0.415125278,0.370902225,
2014-06,31,0,20,26,220500,29575,2972,0,0.162294912,0.090401783,0.090401783,0.060972468
2014-06,24,0,21,24,171000,21970,3440,0,0.22255221,0.138134005,0.135079171,0.042008554
2014-06,69,0,4,4,66000,7820,736,0,0.124627472,,,
2014-06,16,0,16,30,138000,12140,444,0,0.05771813,0.043198348,0.043198348,0.043198348
2014-06,79,0,4,4,54000,7970,2566,0,0.517508472,0.28811826,0.28811826,0.153402752
2014-06,12,0,19,27,105000,5250,336,0,0.177777778,0.152380952,0.114285714,0.038095238
2014-06,53,0,10,11,174000,22090,3626,0,0.231118364,0.17709147,0.171082938,0.09002784
2014-06,84,0,1,1,30000,6000,0,0,,,,
2014-06,81,0,5,6,126000,17060,2664,0,0.232769467,,,
2014-06,10,0,25,34,133000,6650,416,0,0.278195489,0.127819549,0.090583602,0.037235947
2014-06,46,0,14,15,193000,25710,6633,0,0.379132184,0.286159322,0.163794748,0.163794748
2014-06,44,0,13,15,222000,37670,3261,0,0.15696846,,,
2014-06,11,0,22,34,134000,6700,0,0,0.148542999,0.089552239,0.089552239,
2014-06,86,0,2,2,36000,5640,0,0,,,,
2014-06,75,0,4,4,74000,10050,821,0,0.122070196,,,
2014-06,91,0,3,4,96000,14760,0,0,,,,
2014-06,89,0,4,6,103000,16450,0,0,,,,
2014-06,80,0,3,3,56000,8820,0,0,,,,
2014-06,83,0,2,2,35000,5200,456,0,0.141791045,,,
2014-06,90,0,4,5,103000,15270,0,0,,,,
2014-06,47,0,9,10,142000,18880,2442,0,0.189768772,0.10646453,0.099619157,0.097170008
2014-06,38,0,17,21,265000,45170,2769,0,0.111909276,0.000332014,0.000332014,0.000332014
2014-06,39,0,17,17,205000,29070,552,0,0.029670184,0.031953099,0.031953099,0.012773312
2014-06,45,0,12,13,166000,21710,4576,0,0.305108945,0.198927639,0.195807287,0.07721311
2014-06,19,0,23,32,195000,23750,3960,0,0.291779657,0.147419514,0.097174801,0.097174801
2014-06,28,0,21,27,208500,27355,3352,0,0.181703963,0.109744557,0.093229758,0.082495138
2014-06,1,0,43,59,230000,11600,2624,0,0.197865353,0.180623974,0.163382594,0.163382594
2014-06,21,0,25,31,211000,26710,3300,0,0.202771865,0.126305547,0.126305547,0.102779553
2014-06,92,0,4,4,97000,11990,0,0,,,,
2014-06,51,0,10,12,144000,19680,1177,0,0.089870479,,,
2014-06,71,0,1,1,5000,750,0,0,0.008695652,0.008695652,0.008695652,0.008695652
2014-06,23,0,19,24,185000,23370,3880,0,0.223906948,0.178775237,0.169673828,0.051355509
2014-06,54,0,4,6,129000,13830,0,0,,,,
2014-06,52,0,8,11,179000,23580,1022,0,0.093839471,0.098388032,0.073830316,0.073830316
2014-06,43,0,17,20,234000,31580,8243,0,0.390127269,0.235261465,0.027564887,0.026834488
2014-06,73,0,1,1,5000,700,0,0,,,,
2014-06,5,0,24,30,118000,5880,952,0,0.170065135,0.136052108,0.136052108,0.096370243
2014-06,63,0,4,4,66000,7260,888,0,0.151515152,,,
2014-06,41,0,15,17,209000,29190,1380,0,0.072429153,7.93E-06,7.93E-06,7.93E-06
2014-06,60,0,6,6,116000,12310,0,0,,,,
2014-06,14,0,14,18,72000,3600,0,0,0.22775,0.005527778,0.005527778,0.005527778
2014-06,37,0,12,16,201000,27150,3648,0,0.199872452,0.053585018,0.053585018,0.053585018
2014-06,3,0,27,39,153000,7650,1008,0,0.183006536,0.104575163,0.104575163,0.078431373
2014-06,8,0,18,21,84000,4200,0,0,0.095238095,0.047619048,,
2014-06,85,0,1,1,30000,4500,0,0,,,,
2014-06,30,0,18,23,241000,41190,1703,0,0.075498423,0.016942651,0.016590406,5.25E-05
2014-06,61,0,9,12,237000,28550,2309,0,0.108680098,,,
2014-06,62,0,7,8,153000,16390,4056,0,0.299604463,0.309064493,0.302768585,0.207638112
2014-06,64,0,5,9,198000,23860,0,0,0.000247904,0.000247904,0.000247904,0.000247904
2014-06,26,0,17,20,160000,21700,1780,0,0.183301596,0.068050469,0.068050469,0.06750545
2014-06,74,0,5,8,72000,8890,274,0,0.042279639,0.045512789,0.045512789,0.045512789
2014-06,20,0,20,26,174500,22175,1800,0,0.151549002,0.054041567,0.054041567,0.04648394
2014-06,22,0,22,31,225500,27185,2170,0,0.134700516,0.10277138,0.06416119,0.053390359
2014-06,77,0,4,4,64000,8490,552,0,0.095185543,0.102023493,0.102023493,
2014-06,6,0,24,31,124000,6400,1256,0,0.270833333,0.21875,0.15625,0.117559524
2014-06,59,0,7,9,173000,19240,1954,0,0.127184769,0.135967126,0.135967126,0.135967126
2014-06,29,0,21,24,184500,25155,3096,0,0.184660037,0.026908922,7.00E-05,7.00E-05
2014-06,50,0,13,14,210000,36340,7767,0,0.39408947,0.241158252,,
2014-06,70,0,2,4,20000,1850,0,0,,,,
2014-06,57,0,8,8,178000,33580,9144,0,0.540268456,0.469282905,0.455691271,0.418540802
2014-06,9,0,22,29,111000,5550,336,0,0.18018018,0.108108108,0.036036036,0.036036036
2014-06,48,0,10,10,124000,16520,1840,0,0.164076288,0.052774656,0.000428491,0.000428491
2014-06,56,0,8,8,129000,18310,552,0,0.046839997,0.050398344,0.050398344,0.050398344
2014-06,25,0,19,24,190500,24035,3440,0,0.19976181,0.098914554,0.078086478,0.068911114
2014-06,2,0,22,33,126000,6300,0,0,0.095238095,0.031746032,,
2014-06,34,0,15,17,226000,39840,1165,0,0.055145576,0.027860527,0.027860527,0.025238853
2014-06,4,0,24,39,154000,7750,336,0,0.180645161,0.051612903,0.049155146,0.025806452
2014-06,27,0,22,28,209500,27425,3748,0,0.199961591,0.047225489,0.047225489,0.005966186
2014-06,17,0,20,30,169000,19430,2940,0,0.250071114,0.130902963,0.105820662,0.105820662
2014-06,88,0,3,4,72000,9480,0,0,,,,
2014-06,49,0,8,9,132000,16700,3429,0,0.288231338,3.94E-05,3.94E-05,3.94E-05
2014-06,66,0,6,7,161000,21590,3810,0,0.260857659,0.082736052,0.082736052,0.082736052
2014-06,13,0,14,22,88000,4400,296,0,0.136363636,0.136363636,0.085497835,0.085497835
2014-06,68,0,4,4,85000,9150,1332,0,0.176845459,,,
2014-06,15,0,15,22,88000,4400,336,0,0.33982684,0.203463203,0.112554113,0.067099567
2014-06,35,0,15,18,170000,22660,4723,0,0.306497976,0.12793351,0.052212703,9.58E-05
2014-06,58,0,6,7,107000,11590,0,0,0.000927566,0.000927566,0.000927566,0.000927566
2014-06,76,0,4,5,99000,13450,2220,0,0.246776345,0.261358681,0.261358681,0.108746839
2014-06,87,0,4,5,107000,16880,2475,0,0.24975783,0.264453326,0.264453326,
2014-06,55,0,7,8,127000,15960,0,0,,,,
2014-06,65,0,6,7,132000,17960,1809,0,0.15077354,,,
2014-06,7,0,20,30,119000,5950,0,0,0.141656663,0.070428171,0.029611845,
2014-06,40,0,16,19,230000,31980,3255,0,0.155473319,0.093520463,0.028287745,0.023386431
2014-06,72,0,3,6,24000,2710,0,0,0.014975665,0.014975665,0.014975665,0.014975665
2014-07,0,454,454,569,2166000,108300,99397,0,0.582161544,0.565497076,0.561385921,0.555195005
2014-07,4,0,29,37,146000,7200,1676,0,0.27802345,0.229428875,0.201660546,0.141495834
2014-07,55,0,15,15,237000,29530,2292,0,0.10749259,0.027720945,0.027720945,0.027720945
2014-07,90,0,4,5,73000,9110,1966,0,0.398928397,,,
2014-07,83,0,4,4,77000,9180,0,0,,,,
2014-07,62,0,6,8,164000,18040,622,0,0.042693913,1.09E-05,1.09E-05,1.09E-05
2014-07,35,0,13,14,154000,20620,0,0,0.000286336,0.000286336,0.000286336,0.000286336
2014-07,8,0,20,27,108000,5400,336,0,0.148148148,0.037037037,0.037037037,0.037037037
2014-07,7,0,26,33,132000,6600,1008,0,0.22005772,0.16955267,0.16955267,0.090909091
2014-07,3,0,48,61,238000,11900,4016,0,0.291316527,0.229371749,0.201280512,0.201280512
2014-07,15,0,20,31,132000,11800,368,0,0.128998609,0.090403338,0.090403338,0.033379694
2014-07,61,0,7,9,213000,25470,2760,0,0.144693253,4.15E-05,4.15E-05,4.15E-05
2014-07,71,0,1,1,5000,350,0,0,,,,
2014-07,87,0,2,3,46000,7190,0,0,,,,
2014-07,10,0,22,28,110000,5500,672,0,0.23030303,0.197402597,0.161038961,0.096969697
2014-07,57,0,14,16,271000,33040,7479,0,0.309169846,0.183709501,0.183709501,0.091313852
2014-07,89,0,3,3,57000,11140,0,0,,,,
2014-07,37,0,14,14,133000,18150,1001,0,0.083427059,0.081576855,0.049634902,0.000657242
2014-07,70,0,1,1,5000,550,0,0,,,,
2014-07,76,0,3,3,35000,5050,0,0,,,,
2014-07,51,0,13,15,189000,22830,178,0,0.010480102,,,
