First Loan Local Disbursement Month,Months Since First Loan Disbursed,Count First Loans,Count Borrowers,Count Loans,Total Amount,Total Interest Assessed,Total Rollover Charged,Total Rollover Reversed,Default Rate Amount 7D,Default Rate Amount 30D,Default Rate Amount 51D,Ftbs,Borrower Retention,Loans Per Borrower,Loan Size,Interest Rate,Total Revenue Of Originations,Loans Per Original,Originations Per Original,Revenue Per Original
2020-10,4,0,2953,3347,32338000,4434570,377769,0,0.1303231458,0.09992021876,0.0926342018,10314,0.2863098701,1.133423637,9661.786675,0.1371318573,0.1488137485,0.3245103742,3135.35001,466.5831879
2020-11,0,8113,8113,13372,47304000,6390450,693987,61174,0.1607595715,0.1315851085,0.12254087,10314,0.7866007369,1.648218908,3537.541131,0.1350932268,0.1484708059,1.296490207,4586.387435,680.9446384
2020-11,16,0,2,2,48000,8700,0,0,,,,10314,0.0001939111887,1,24000,0.18125,0.18125,0.0001939111887,4.653868528,0.8435136707
2020-11,8,0,1554,1787,28959000,3937630,265394,0,0.1033744386,0.07907207986,0.07610675402,10314,0.1506689936,1.14993565,16205.37213,0.1359725819,0.1451370558,0.1732596471,2807.737056,407.5066899
2020-11,11,0,1296,1476,27457000,3670630,230385,0,0.09282190766,0.0670161883,0.06105257021,10314,0.1256544503,1.138888889,18602.30352,0.1336864916,0.1420772481,0.1431064572,2662.109754,378.2252278
2020-11,13,0,1011,1143,22597000,3340470,169180,0,0.09707464389,0.07468968603,0.04806854062,10314,0.09802210588,1.130563798,19769.90376,0.1478280303,0.1553148648,0.1108202443,2190.905565,340.2802017
2020-11,3,0,2831,3233,27326000,3756060,339706,0,0.1376982498,0.107825406,0.1015327522,10314,0.2744812876,1.141999294,8452.211568,0.1374537071,0.1498853107,0.3134574365,2649.408571,397.1074268
2020-11,12,0,1180,1330,25476000,3565770,293282,116,0.1263780053,0.08951821606,0.06891707342,10314,0.1144076013,1.127118644,19154.88722,0.1399658502,0.1514733867,0.1289509405,2470.040721,374.1454334
2020-11,14,0,922,1027,20090000,2845190,29694,0,0.07383151358,0.007545655544,,10314,0.08939305798,1.113882863,19561.83057,0.1416222001,0.1431002489,0.09957339538,1947.83789,278.7360869
2020-11,5,0,2149,2441,29033000,3959300,299429,266,0.1135533068,0.08903022129,0.08469776382,10314,0.2083575722,1.135877152,11893.89594,0.1363724038,0.1466766438,0.2366686058,2814.91177,412.8818111
